,"TEST_LABEL=M_NYC_(1,)_300_STEP_0002_STEPSIZE_RULE=CONST_DISCOUNT_FACTOR=0.1_STEPSIZE_FIXED=0.1_FLEET_SIZE=300_DEMAND_SCENARIO=NYC_REBALANCE_LEVEL=(1,)","TEST_LABEL=M_NYC_(1,)_300_STEP_0001_STEPSIZE_RULE=CONST_DISCOUNT_FACTOR=0.1_STEPSIZE_FIXED=0.05_FLEET_SIZE=300_DEMAND_SCENARIO=NYC_REBALANCE_LEVEL=(1,)","TEST_LABEL=M_NYC_(1,)_300_STEP_0004_STEPSIZE_RULE=MCCL_DISCOUNT_FACTOR=0.1_STEPSIZE_FIXED=0.1_FLEET_SIZE=300_DEMAND_SCENARIO=NYC_REBALANCE_LEVEL=(1,)","TEST_LABEL=M_NYC_(1,)_300_STEP_0003_STEPSIZE_RULE=MCCL_DISCOUNT_FACTOR=0.1_STEPSIZE_FIXED=0.05_FLEET_SIZE=300_DEMAND_SCENARIO=NYC_REBALANCE_LEVEL=(1,)","TEST_LABEL=M_NYC_(1,)_300_STEP_0006_STEPSIZE_RULE=CONST_DISCOUNT_FACTOR=0.5_STEPSIZE_FIXED=0.1_FLEET_SIZE=300_DEMAND_SCENARIO=NYC_REBALANCE_LEVEL=(1,)","TEST_LABEL=M_NYC_(1,)_300_STEP_0005_STEPSIZE_RULE=CONST_DISCOUNT_FACTOR=0.5_STEPSIZE_FIXED=0.05_FLEET_SIZE=300_DEMAND_SCENARIO=NYC_REBALANCE_LEVEL=(1,)","TEST_LABEL=M_NYC_(1,)_300_STEP_0008_STEPSIZE_RULE=MCCL_DISCOUNT_FACTOR=0.5_STEPSIZE_FIXED=0.1_FLEET_SIZE=300_DEMAND_SCENARIO=NYC_REBALANCE_LEVEL=(1,)","TEST_LABEL=M_NYC_(1,)_300_STEP_0007_STEPSIZE_RULE=MCCL_DISCOUNT_FACTOR=0.5_STEPSIZE_FIXED=0.05_FLEET_SIZE=300_DEMAND_SCENARIO=NYC_REBALANCE_LEVEL=(1,)","TEST_LABEL=M_NYC_(1,)_300_STEP_0010_STEPSIZE_RULE=CONST_DISCOUNT_FACTOR=0.7_STEPSIZE_FIXED=0.1_FLEET_SIZE=300_DEMAND_SCENARIO=NYC_REBALANCE_LEVEL=(1,)","TEST_LABEL=M_NYC_(1,)_300_STEP_0009_STEPSIZE_RULE=CONST_DISCOUNT_FACTOR=0.7_STEPSIZE_FIXED=0.05_FLEET_SIZE=300_DEMAND_SCENARIO=NYC_REBALANCE_LEVEL=(1,)","TEST_LABEL=M_NYC_(1,)_300_STEP_0012_STEPSIZE_RULE=MCCL_DISCOUNT_FACTOR=0.7_STEPSIZE_FIXED=0.1_FLEET_SIZE=300_DEMAND_SCENARIO=NYC_REBALANCE_LEVEL=(1,)","TEST_LABEL=M_NYC_(1,)_300_STEP_0011_STEPSIZE_RULE=MCCL_DISCOUNT_FACTOR=0.7_STEPSIZE_FIXED=0.05_FLEET_SIZE=300_DEMAND_SCENARIO=NYC_REBALANCE_LEVEL=(1,)"
0,10599.250710700004,10640.362930899999,10655.922387299997,10637.189569000002,10656.611016299996,10561.077178900005,10627.1435095,10593.491788100006,10606.955283899999,10589.576244400003,10646.581046699997,10618.207750099999
1,9054.823719099999,9396.815264100002,10152.1414354,10126.5082256,8597.7207464,8904.7657267,9514.178070400001,9436.414309200003,8318.169044300002,8442.872524899998,9010.4329745,9094.949222299994
2,9281.132933599998,8658.500006900002,10808.545491000004,10773.724951000004,7359.5382958,7689.256439200004,9911.686976899997,10157.1853274,6587.3286438000005,7031.3642152,8857.042080400002,9022.401148400004
3,8605.3120373,8136.617416799997,10937.806215200002,11042.939193899998,7793.980705699999,7584.186745299999,9629.203967300002,10147.063304999996,5944.211980700002,6814.8896627999975,8893.3594877,8966.343609700001
