,STEPSIZE_RULE=MCCL_DISCOUNT_FACTOR=0.05_STEPSIZE_FIXED=0.1_FLEET_SIZE=300_MATCH_MAX_NEIGHBORS=4_MATCH_LEVEL=3_MATCH_METHOD=MATCH_NEIGHBORS,STEPSIZE_RULE=MCCL_DISCOUNT_FACTOR=0.05_STEPSIZE_FIXED=0.1_FLEET_SIZE=300_MATCH_MAX_NEIGHBORS=8_MATCH_LEVEL=2_MATCH_METHOD=MATCH_NEIGHBORS,STEPSIZE_RULE=MCCL_DISCOUNT_FACTOR=0.05_STEPSIZE_FIXED=0.1_FLEET_SIZE=300_MATCH_MAX_NEIGHBORS=4_MATCH_LEVEL=2_MATCH_METHOD=MATCH_NEIGHBORS,STEPSIZE_RULE=MCCL_DISCOUNT_FACTOR=0.05_STEPSIZE_FIXED=0.1_FLEET_SIZE=300_MATCH_MAX_NEIGHBORS=8_MATCH_LEVEL=3_MATCH_METHOD=MATCH_NEIGHBORS
0,11677.254843699997,7945.236351300001,8033.343780699999,11659.601762999997
1,11582.011347500005,7721.465358400003,7807.549188799998,11665.802367999997
2,11963.645405300002,8500.2111051,8663.0358783,11740.977863700002
3,11904.966002600007,8947.01419,8775.319443900004,11764.255417800001
4,11848.266734500003,9322.855922599998,9155.057154099999,11920.258714800006
5,11775.68739,9379.047727200003,9431.461680400002,11900.867144599997
6,12011.965922799996,9798.324491699996,9794.004094299999,11989.828331100005
7,12124.10043579999,9407.332016100003,9624.960740200004,11859.307398900002
8,12041.891975100001,9758.6060441,9725.574497000003,11845.223829300001
9,11831.918601099995,9432.495780500001,9593.843281200003,11767.954900099998
10,11922.369012300003,9551.0617633,9804.0500036,12015.397161800003
11,11961.373357900002,9531.0169243,9319.166910000004,11961.607762299996
12,11731.591130900004,9458.566199499997,9461.8964861,11752.259251500001
13,11853.028377199998,9886.295450700005,9767.257565799999,12117.147337499999
14,11803.416233699998,9552.715257200001,9454.381533799999,11905.3178255
15,11783.6028545,9720.912261099995,9678.0995487,12099.973612999995
16,11642.836148500004,9556.4643334,9587.691443699998,11905.019624300003
17,12023.8021918,9878.995030400001,9609.758285200001,12154.764475399998
18,11911.158551499993,9727.155011300001,9665.468430399998,12244.648968200001
19,12007.4252494,9821.015819400001,9607.818228399992,12104.1257651
20,11816.180500800001,9587.747762300009,9589.526954499994,12077.7206138
21,11588.161894000003,9728.171570200004,9620.606401300005,12049.2481141
22,11762.51584909999,9571.2559192,9645.321884499997,12083.583643200007
23,11698.807430199995,9359.274172200003,9387.747222900007,11769.657536800001
24,11717.825572499998,9786.241601899997,9633.160610400002,12127.068997399998
25,11860.867230600004,9656.830258600005,9738.7944362,11950.219943499998
26,11803.416092999994,9634.2818521,9593.013124899999,12021.112999400004
27,11952.556629400002,9733.568611900004,9704.1814523,12021.884844700002
28,11839.208515599996,9804.398707200002,9640.096420400003,11951.644299
29,11880.6195516,9663.646073500002,9550.766332399999,11908.227284699999
