,STEPSIZE_RULE=HARM_DISCOUNT_FACTOR=0.1_STEPSIZE_FIXED=0.05_HARMONIC_STEPSIZE=2,STEPSIZE_RULE=HARM_DISCOUNT_FACTOR=0.1_STEPSIZE_FIXED=0.1_HARMONIC_STEPSIZE=2,STEPSIZE_RULE=HARM_DISCOUNT_FACTOR=0.1_STEPSIZE_FIXED=0.05_HARMONIC_STEPSIZE=3,STEPSIZE_RULE=HARM_DISCOUNT_FACTOR=0.1_STEPSIZE_FIXED=0.1_HARMONIC_STEPSIZE=3,STEPSIZE_RULE=CONST_DISCOUNT_FACTOR=0.1_STEPSIZE_FIXED=0.05_HARMONIC_STEPSIZE=-1,STEPSIZE_RULE=CONST_DISCOUNT_FACTOR=0.1_STEPSIZE_FIXED=0.1_HARMONIC_STEPSIZE=-1,STEPSIZE_RULE=MCCL_DISCOUNT_FACTOR=0.1_STEPSIZE_FIXED=0.05_HARMONIC_STEPSIZE=-1,STEPSIZE_RULE=MCCL_DISCOUNT_FACTOR=0.1_STEPSIZE_FIXED=0.1_HARMONIC_STEPSIZE=-1,STEPSIZE_RULE=HARM_DISCOUNT_FACTOR=0.5_STEPSIZE_FIXED=0.05_HARMONIC_STEPSIZE=2,STEPSIZE_RULE=HARM_DISCOUNT_FACTOR=0.5_STEPSIZE_FIXED=0.1_HARMONIC_STEPSIZE=2
0,1233.8879915999999,1233.8879915999999,1504.6388662000006,1504.6388662000006,1442.3844864999996,1442.3844864999996,1442.3844864999996,1442.3844864999996,1347.2781310000003,1347.2781310000003
1,1360.2571319000006,1360.2571319000006,1343.2039037999998,1343.2039037999998,1370.5480740999997,1370.5480740999997,1370.5480740999997,1370.5480740999997,1400.2436364999996,1400.2436364999996
2,1314.3360742,1314.3360742,1209.7395721000003,1209.7395721000003,1574.8812344,1574.8812344,1574.8812344,1574.8812344,1536.5204045999992,1536.5204045999992
