"reward_ANN_LIN_cars=0300-0000(L)_t=1_levels[3]=(1-0, 3-300, 3-600)_rebal=([0-8, 1-8][tabu=00])[L(05)][P]_[05h,+30m+04h+60m]_match=15_0.10(S)_1.00_0.10","reward_annealing_thompsom_LIN_cars=0300-0000(L)_t=1_levels[3]=(1-0, 3-300, 3-600)_rebal=([0-8, 1-8][tabu=00])[L(05)]_[05h,+30m+04h+60m]_match=15_0.10(S)_1.00_0.10","reward_annealing_thompson_0.2_LIN_cars=0300-0000(L)_t=1_levels[3]=(1-0, 3-300, 3-600)_rebal=([0-8, 1-8][tabu=00])[L(05)]_[05h,+30m+04h+60m]_match=15_0.10(S)_1.00_0.10","service_rate_ANN_LIN_cars=0300-0000(L)_t=1_levels[3]=(1-0, 3-300, 3-600)_rebal=([0-8, 1-8][tabu=00])[L(05)][P]_[05h,+30m+04h+60m]_match=15_0.10(S)_1.00_0.10","service_rate_annealing_thompsom_LIN_cars=0300-0000(L)_t=1_levels[3]=(1-0, 3-300, 3-600)_rebal=([0-8, 1-8][tabu=00])[L(05)]_[05h,+30m+04h+60m]_match=15_0.10(S)_1.00_0.10","service_rate_annealing_thompson_0.2_LIN_cars=0300-0000(L)_t=1_levels[3]=(1-0, 3-300, 3-600)_rebal=([0-8, 1-8][tabu=00])[L(05)]_[05h,+30m+04h+60m]_match=15_0.10(S)_1.00_0.10","time_ANN_LIN_cars=0300-0000(L)_t=1_levels[3]=(1-0, 3-300, 3-600)_rebal=([0-8, 1-8][tabu=00])[L(05)][P]_[05h,+30m+04h+60m]_match=15_0.10(S)_1.00_0.10","time_annealing_thompsom_LIN_cars=0300-0000(L)_t=1_levels[3]=(1-0, 3-300, 3-600)_rebal=([0-8, 1-8][tabu=00])[L(05)]_[05h,+30m+04h+60m]_match=15_0.10(S)_1.00_0.10","time_annealing_thompson_0.2_LIN_cars=0300-0000(L)_t=1_levels[3]=(1-0, 3-300, 3-600)_rebal=([0-8, 1-8][tabu=00])[L(05)]_[05h,+30m+04h+60m]_match=15_0.10(S)_1.00_0.10"
14665.86057657089,15027.635496121353,14890.428462516118,0.6371556392747822,0.6840122439368966,0.6310336708264658,138.74062633514404,43.90189027786255,41.266077995300286
14112.86503737067,14563.847514261472,14048.48455715683,0.6503831417624522,0.6865421455938697,0.6381704980842912,195.093022108078,55.67810988426209,55.50374102592468
14924.124790353491,15783.094023436835,14841.282616104383,0.6925076813991964,0.7482864571023399,0.6818718978964784,179.60945296287537,54.021225929260254,51.55081105232239
14507.586888346941,15613.109055274354,14783.396193279706,0.6659584513692163,0.7353635505193579,0.6756373937677054,184.96796107292172,49.86917495727539,50.68087816238403
15035.056845719882,16072.921243485493,15272.380190385797,0.7090736792229331,0.7754086709310591,0.7112058753849798,179.6603057384491,48.39608955383301,47.063549757003784
15066.058957598445,15916.925464507742,15347.724045375344,0.7084520417853751,0.7594966761633428,0.7150997150997151,185.6888725757599,51.90050220489502,56.92908477783203
15479.65407238846,16207.908322354117,15775.904475294335,0.7420836354846507,0.7921198936427363,0.7592458303118201,180.29406952857968,47.99210715293884,51.538918733596795
15756.722563979856,16460.33148359335,16017.338540006069,0.7559990496555001,0.7949631741506296,0.7602755999049655,180.63295912742612,53.1365602016449,50.20124459266663
15789.739428803621,16484.95573113132,16081.88243951399,0.7385989656793606,0.7750352609308886,0.7501175364362953,184.870441198349,43.59524607658386,53.5374927520752
16011.17719476485,16569.506921877663,16071.234887088662,0.7382271468144044,0.7742382271468145,0.7393813481071099,179.5140199661255,48.484230041503906,53.07369351387024
15927.292262941779,16483.29892014896,16162.563233435874,0.7533018867924528,0.7891509433962264,0.7648584905660377,182.34561920166016,48.68477463722229,46.88288688659668
16388.764652940517,16995.879450691988,16730.76073712705,0.7561878325237104,0.78764746703678,0.7707610455702059,173.2052712440491,43.500062704086304,48.29127907752991
16019.741777964573,16546.406127183393,16508.063260422,0.7523452157598499,0.7823639774859287,0.7774390243902439,175.1813507080078,55.91945195198059,49.677687644958496
16148.336882489097,16610.79978943456,16520.11650637521,0.7789674042350702,0.8058529621698787,0.7911015940994528,183.1574923992157,42.68560409545898,50.35968828201294
