pickup_datetime,passenger_count,pk_id,dp_id,pickup_latitude,pickup_longitude,dropoff_latitude,dropoff_longitude
2011-02-01 00:04:00,1,3569,226,40.755548,-73.994662,40.752067,-73.99329199999998
2011-02-01 00:04:00,1,3363,1206,40.736582,-74.00112299999998,40.734375,-73.980463
2011-02-01 00:04:03,1,224,1796,40.751298,-73.994049,40.794167,-73.962998
2011-02-01 00:04:12,1,1503,681,40.738321,-73.98416,40.724311,-73.988117
2011-02-01 00:04:14,1,533,2466,40.759879,-73.97428399999998,40.783399,-73.95711199999998
2011-02-01 00:04:24,1,1733,3925,40.73768,-73.984052,40.760348,-73.967658
2011-02-01 00:04:26,1,1232,2932,40.76922800000001,-73.955212,40.766405,-73.95715199999998
2011-02-01 00:04:26,2,768,3334,40.748271,-73.98496999999998,40.783194,-73.952833
2011-02-01 00:04:45,1,2681,1215,40.716094,-74.00896999999998,40.726399,-74.002487
2011-02-01 00:04:50,1,4305,191,40.784767,-73.949585,40.773809,-73.94609599999998
2011-02-01 00:05:00,2,1876,811,40.726168,-73.991825,40.80406,-73.96674299999998
2011-02-01 00:05:00,1,2916,1392,40.739742,-73.995075,40.763263,-73.98167499999998
2011-02-01 00:05:00,5,4157,1867,40.75483300000001,-73.991617,40.780548,-73.980267
2011-02-01 00:05:00,1,3514,3310,40.731792,-73.98223,40.701623,-74.01169299999998
2011-02-01 00:05:00,1,2084,3275,40.76857,-73.981888,40.79265,-73.97293999999998
2011-02-01 00:05:00,5,1389,2215,40.762295,-73.982342,40.752248,-73.97832199999998
2011-02-01 00:05:31,1,1972,2896,40.726111,-73.98953399999998,40.774295,-73.963724
2011-02-01 00:05:34,1,607,3629,40.73275,-73.987576,40.756661,-73.96379499999998
2011-02-01 00:05:43,1,1800,3414,40.733779,-74.002531,40.774615,-73.988237
2011-02-01 00:05:45,1,3315,1889,40.766611,-73.994293,40.793839,-73.970663
2011-02-01 00:06:00,1,2344,3052,40.771183,-73.950643,40.770713,-73.956793
2011-02-01 00:06:00,1,4163,3446,40.774377,-73.957188,40.792598,-73.97516199999998
2011-02-01 00:06:00,5,3279,1251,40.758947,-73.97091999999998,40.750505,-73.99110799999998
2011-02-01 00:06:00,1,2586,1235,40.794878,-73.971722,40.75648,-73.964658
2011-02-01 00:06:06,2,891,1346,40.784256,-73.97791499999998,40.782288,-73.956066
2011-02-01 00:06:16,1,2604,1880,40.804973,-73.966296,40.791621,-73.97273
2011-02-01 00:06:16,1,429,2163,40.719858,-74.0087,40.759431,-73.96834
2011-02-01 00:06:36,1,1817,2354,40.705357,-74.00780999999998,40.776849,-73.947117
2011-02-01 00:06:41,1,2311,447,40.708144,-74.003454,40.735384,-74.006015
2011-02-01 00:06:47,1,909,1792,40.786689,-73.97587799999998,40.823454,-73.95520999999998
2011-02-01 00:06:55,1,3010,1973,40.739983,-73.97953099999998,40.726904,-73.98891999999998
2011-02-01 00:07:00,1,4173,516,40.78554000000001,-73.949247,40.789382,-73.94339499999998
2011-02-01 00:07:00,1,2708,1165,40.850267,-73.93615799999998,40.777972,-73.960972
2011-02-01 00:07:00,1,3763,2800,40.750165,-73.974968,40.779048,-73.95440999999998
2011-02-01 00:07:00,1,2954,3646,40.719868,-73.992638,40.720465,-73.98434299999998
2011-02-01 00:07:00,1,1231,914,40.770302,-73.957475,40.725453,-73.97651999999998
2011-02-01 00:07:00,5,3757,2344,40.755722,-73.974873,40.77145,-73.950815
2011-02-01 00:07:00,2,4259,2542,40.728237,-73.999398,40.756717,-73.993993
2011-02-01 00:07:04,1,3785,1735,40.761593,-73.986665,40.774441,-73.98155699999998
2011-02-01 00:07:06,1,2269,1666,40.732257,-74.003539,40.722751,-73.98844799999998
2011-02-01 00:07:06,1,3105,4045,40.738484,-73.99579799999998,40.733845,-74.00136399999998
2011-02-01 00:07:18,1,1497,3000,40.764045,-73.972604,40.824813,-73.944204
2011-02-01 00:07:22,1,3008,168,40.742089,-73.980817,40.749147,-73.99216599999998
2011-02-01 00:07:28,1,2269,1473,40.732354,-74.003473,40.707376,-74.004338
2011-02-01 00:07:32,2,3166,3108,40.759242,-73.981098,40.778132,-73.98258199999998
2011-02-01 00:07:44,1,3553,1990,40.763887,-73.962016,40.742975,-73.97723399999998
2011-02-01 00:07:54,1,1187,2007,40.750012,-73.991725,40.757587,-73.96714199999998
2011-02-01 00:07:55,3,4019,48,40.724809,-73.99845899999998,40.747059,-73.97913599999998
2011-02-01 00:08:00,1,4019,3335,40.724773,-73.99878299999997,40.73021,-74.004778
2011-02-01 00:08:00,1,3412,701,40.773582,-73.989125,40.787695,-73.980913
2011-02-01 00:08:00,1,4148,2084,40.729643,-73.99661299999998,40.768642,-73.98144
2011-02-01 00:08:06,1,2222,2125,40.745969,-73.99809599999998,40.723225,-73.98861999999998
2011-02-01 00:08:43,2,3572,1596,40.730397,-74.002274,40.732255,-73.98488299999998
